Entry	Gene ontology (GO)	Gene ontology IDs	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)
D6KL23	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
W1V5G2	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
W3Y155	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A2S7YPW0	O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003961; GO:0019346; GO:0030170		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
D1YNF9	O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003961; GO:0019346; GO:0030170		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
A0A415H5F3	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A2S7ZIN8	O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003961; GO:0019346; GO:0030170		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
A0A239YEQ2	methionine gamma-lyase activity [GO:0018826]; pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0018826; GO:0019346; GO:0030170		methionine gamma-lyase activity [GO:0018826]; pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
T0T8X0	O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003961; GO:0019346; GO:0030170		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
A0A134BZX7	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A413EDL4	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A418PKD9	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A2I1TGL2	O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003961; GO:0019346; GO:0030170		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
D6KRE6	pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; transsulfuration [GO:0019346]	GO:0016765; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	transsulfuration [GO:0019346]
A0A3D2WTV8	O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003961; GO:0019346; GO:0030170		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
A0A1G3L1W5	pyridoxal phosphate binding [GO:0030170]; transferase activity [GO:0016740]; transsulfuration [GO:0019346]	GO:0016740; GO:0019346; GO:0030170		pyridoxal phosphate binding [GO:0030170]; transferase activity [GO:0016740]	transsulfuration [GO:0019346]
W1WEV6	catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003824; GO:0019346; GO:0030170		catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
A0A3D2WVV4	O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]; transsulfuration [GO:0019346]	GO:0003961; GO:0019346; GO:0030170		O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]; pyridoxal phosphate binding [GO:0030170]	transsulfuration [GO:0019346]
